class,id,name,presync,sync,postsync,init,heartbeat,precommit,commit,finalize
triplex_meter,437,tm_B_1_692,14000,24000,30000,0,0,0,0,0
house,438,house1B_tm_B_1_692,27000,44000,22000,0,0,0,0,0
controller,439,,19000,35000,87000,0,0,0,0,0
waterheater,440,,25000,27000,18000,0,0,0,0,0
passive_controller,441,,30000,23000,18000,0,0,0,0,0
transformer,442,CTTF_C_692,21000,23000,23000,0,0,0,0,0
transformer_configuration,443,,0,0,0,0,0,0,0,0
triplex_meter,444,tn_C_692,22000,21000,19000,0,0,0,0,0
triplex_line,445,tl_C_1_692,23000,36000,25000,0,0,0,0,0
triplex_meter,446,tm_C_1_692,26000,20000,27000,0,0,0,0,0
house,447,house1C_tm_C_1_692,29000,30000,26000,0,0,0,0,0
controller,448,,19000,23000,94000,0,0,0,0,0
transformer,449,CTTF_C_611,16000,23000,25000,0,0,0,0,0
transformer_configuration,450,,0,0,0,0,0,0,0,0
triplex_meter,451,tn_C_611,35000,36000,27000,0,0,0,0,0
triplex_line,452,tl_C_1_611,21000,27000,28000,0,0,0,0,0
triplex_meter,453,tm_C_1_611,20000,33000,28000,0,0,0,0,0
house,454,house1C_tm_C_1_611,26000,33000,20000,0,0,0,0,0
controller,455,,31000,33000,83000,0,0,0,0,0
waterheater,456,,25000,25000,32000,0,0,0,0,0
passive_controller,457,,23000,22000,40000,0,0,0,0,0
transformer,458,CTTF_A_6711,19000,31000,25000,0,0,0,0,0
transformer_configuration,459,,0,0,0,0,0,0,0,0
triplex_meter,460,tn_A_6711,22000,38000,31000,0,0,0,0,0
triplex_line,461,tl_A_1_6711,19000,36000,29000,0,0,0,0,0
triplex_meter,462,tm_A_1_6711,24000,31000,30000,0,0,0,0,0
house,463,house1A_tm_A_1_6711,28000,44000,27000,0,0,0,0,0
controller,464,,27000,41000,86000,0,0,0,0,0
waterheater,465,,20000,40000,25000,0,0,0,0,0
passive_controller,466,,23000,25000,24000,0,0,0,0,0
transformer,467,CTTF_B_6711,24000,35000,25000,0,0,0,0,0
transformer_configuration,468,,0,0,0,0,0,0,0,0
triplex_meter,469,tn_B_6711,24000,23000,24000,0,0,0,0,0
triplex_line,470,tl_B_1_6711,25000,28000,29000,0,0,0,0,0
triplex_meter,471,tm_B_1_6711,22000,30000,21000,0,0,0,0,0
house,472,house1B_tm_B_1_6711,33000,48000,30000,0,0,0,1000,0
controller,473,,25000,32000,95000,0,0,0,0,0
waterheater,474,,24000,30000,29000,0,0,0,0,0
passive_controller,475,,27000,25000,22000,0,0,0,0,0
transformer,476,CTTF_C_6711,25000,24000,31000,0,0,0,0,0
transformer_configuration,477,,0,0,0,0,0,0,0,0
triplex_meter,478,tn_C_6711,24000,28000,26000,0,0,0,0,0
triplex_line,479,tl_C_1_6711,23000,17000,29000,0,0,0,0,0
triplex_meter,480,tm_C_1_6711,21000,31000,25000,0,0,0,0,0
house,481,house1C_tm_C_1_6711,34000,46000,31000,0,0,0,0,0
controller,482,,31000,35000,84000,0,0,0,0,0
waterheater,483,,22000,25000,27000,0,0,0,0,0
passive_controller,484,,24000,25000,29000,0,0,0,0,0
transformer,485,CTTF_A_6321,27000,29000,25000,0,0,0,0,0
transformer_configuration,486,,0,0,0,0,0,0,0,0
triplex_meter,487,tn_A_6321,33000,27000,21000,0,0,0,0,0
triplex_line,488,tl_A_1_6321,35000,21000,20000,0,0,0,0,0
triplex_meter,489,tm_A_1_6321,27000,24000,21000,0,0,0,0,0
house,490,house1A_tm_A_1_6321,32000,25000,21000,0,0,0,0,0
controller,491,,24000,30000,101000,0,0,0,0,0
transformer,492,CTTF_B_6321,19000,19000,29000,0,0,0,0,0
transformer_configuration,493,,0,0,0,0,0,0,0,0
triplex_meter,494,tn_B_6321,28000,34000,30000,0,0,0,0,0
triplex_line,495,tl_B_1_6321,18000,28000,27000,0,0,0,0,0
triplex_meter,496,tm_B_1_6321,25000,26000,31000,0,0,0,0,0
house,497,house1B_tm_B_1_6321,30000,37000,30000,0,0,0,1000,0
controller,498,,29000,27000,86000,0,0,0,0,0
transformer,499,CTTF_C_6321,25000,33000,27000,0,0,0,0,0
transformer_configuration,500,,0,0,0,0,0,0,0,0
triplex_meter,501,tn_C_6321,22000,25000,19000,0,0,0,0,0
triplex_line,502,tl_C_1_6321,25000,28000,29000,0,0,0,0,0
triplex_meter,503,tm_C_1_6321,33000,32000,30000,0,0,0,0,0
house,504,house1C_tm_C_1_6321,20000,48000,20000,0,0,0,1000,0
controller,505,,21000,22000,94000,0,0,0,0,0
billdump,506,,0,18000,0,0,0,0,1000,0
